Country,Subnational region,Module,Indicator,Configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFRE,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Male+Female,12172880,12392554,12615158,12836190,13051802,13266094,13480821,13694257,13896799,14092878,14287343,14481585,14676835
AFRE,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Male+Female,11686786,11909024,12135694,12364302,12590424,12810853,13030085,13249981,13468706,13676494,13878004,14077738,14277332
AFRE,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Male+Female,11325736,11543384,11767738,11996246,12226282,12453850,12676087,12897438,13119628,13340630,13551004,13755072,13957518
AFRE,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Male+Female,11043452,11261392,11479716,11704616,11933374,12163710,12391899,12615069,12837538,13060836,13283181,13494844,13700342
AFRE,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Male+Female,10777473,10999479,11217591,11436045,11660818,11889508,12120072,12348783,12572662,12795848,13020074,13243269,13455910
AFRE,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Male+Female,10512797,10741340,10963801,11182068,11400258,11624690,11853361,12084238,12313495,12537944,12761904,12986799,13210754
AFRE,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Male+Female,10246302,10480296,10709733,10932500,11150434,11368083,11592314,11821171,12052527,12282274,12507430,12731970,12957512
AFRE,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Male+Female,9980746,10216752,10451642,10681346,10903698,11120987,11338357,11562700,11791972,12023756,12254112,12479782,12704890
AFRE,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Male+Female,9715070,9954367,10191217,10426298,10655498,10877113,11094050,11311470,11536178,11765828,11998165,12228963,12455138
AFRE,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Male+Female,9449724,9691820,9931853,10168807,10403308,10631690,10852876,11069812,11287556,11512608,11742770,11975511,12206750
AFRE,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Male+Female,9184950,9429028,9671753,9911792,10148100,10381742,10609650,10830784,11048002,11266064,11491607,11722136,11955275
AFRE,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Male+Female,8924472,9166192,9410802,9653437,9892794,10128222,10361361,10589170,10810547,11028052,11246568,11472462,11703360
